Episodio,Recompensa,Longitud
0,860.2750001875684,1616
1,933.6875001862645,1654
2,1228.349998742342,2401
3,1245.949999959208,2318
4,606.74999930989,1076
5,1185.0374994883314,2389
6,1172.9625003980473,2338
7,1262.4000004008412,2401
8,1015.4875003248453,1961
9,1229.4625003039837,2401
10,1312.924999780953,2401
